model,area,method,rmse,mae,r2,bias,corr,n,selection_reason,complexity_rank
INM-CM5-0,wtio,linear,0.3673036404443739,0.2922382185088427,0.7674427321392207,-0.009643244422185315,0.8773380189013646,120,practical_tie_prefer_simpler_method,0.0
MIROC6,cbm,xgb,0.6644404811542174,0.5365916129684448,0.9505278764645702,-0.20092103718821208,0.9772874444412822,120,lowest_rmse,
MIROC6,centro,linear,0.526505111562479,0.414053931725954,0.817259134725143,-0.16131225843422684,0.9134642035638983,120,rmse_tie_then_lowest_mae,
MIROC6,centroleste,xgb,0.5773420369454276,0.4559179956359865,0.8457507397568294,-0.2732342348144531,0.9388703291530663,120,lowest_rmse,
MIROC6,dmi,linear,0.3975307697574748,0.2963326724727865,0.5162838977784651,-0.0061317483407463975,0.7197315124093846,120,rmse_tie_then_lowest_mae,
MIROC6,nat,xgb,0.5293086928948446,0.4102711868418375,0.8128964495701325,-0.245902676240031,0.9240829885882009,120,lowest_rmse,
MIROC6,nino12,xgb,0.9753993458183032,0.7783883660380044,0.7899739867090889,0.3636983895629882,0.9069935469377319,120,lowest_rmse,
MIROC6,nino3,xgb,0.7819277641531287,0.6214934343037924,0.5316886901186653,0.1440149648864747,0.7402228242909424,120,lowest_rmse,
MIROC6,nino34,linear,0.8091757069684009,0.6626605254851687,0.12905602811755923,0.19532801636158295,0.42610624062285724,120,lowest_rmse,
MIROC6,nino4,linear,0.7041864914019526,0.5865991904720375,-0.0041613952958357014,-0.00640956861290792,0.016515097049840662,120,lowest_rmse,
MIROC6,norte,xgb,0.32328212819881075,0.2599616165059407,0.9616200388596478,-0.08239543754272466,0.9820626809693838,120,lowest_rmse,
MIROC6,norteleste,xgb,0.4638086777706898,0.37157343675638843,0.9171057513401859,-0.034830817705281444,0.9606426006102992,120,lowest_rmse,
MIROC6,sat,xgb,0.4030690293580861,0.3182274278930665,0.8622994948458559,-0.1354382197937011,0.9373684274950269,120,rmse_tie_then_lowest_mae,
MIROC6,setio,linear,0.3748127310159709,0.28304647363574664,0.5521977249843193,-0.14396331271894552,0.789199466780691,120,practical_tie_prefer_simpler_method,0.0
MIROC6,swio,linear,0.365758585063667,0.29189474320042424,0.7940879229990581,-0.1488972389154465,0.9127616439211182,120,practical_tie_prefer_simpler_method,0.0
MIROC6,tasi,xgb,0.45064930741471587,0.3692308012935857,0.9575862891189295,-0.22112229634877675,0.9837680220452942,120,lowest_rmse,
MIROC6,tna,linear,0.47260617613672284,0.3611210091554677,0.8453519566528762,-0.060704773609768115,0.920835126309789,120,lowest_rmse,
MIROC6,tsa,xgb,0.2503372201650799,0.19714494787495912,0.9103863597378095,-0.05792146145324706,0.9570876476372634,120,rmse_tie_then_lowest_mae,
MIROC6,wtio,linear,0.34397089638473843,0.2783396728910895,0.7960504049314157,-0.1415494240670701,0.9126413392088338,120,rmse_mae_tie_then_highest_r2,
