model,area,method,rmse,mae,r2,bias,corr,n
CMCC-ESM2,nino34,linear,0.9485663285588175,0.7486195949122173,-0.19685063473270326,0.17315192303872537,-0.07627554868496092,120
CMCC-ESM2,nino34,qm,1.3868657023812372,1.0883260821294343,-1.5584289567285392,0.3782510119157474,-0.07607094919399127,120
CMCC-ESM2,nino34,xgb,0.8741214336315465,0.6631562311716717,-0.01636121666594237,0.03202315625508622,0.3961981259453362,120
CMCC-ESM2,nino4,linear,0.7115360944396361,0.5936545989663562,-0.025231669395622713,-0.011628341620172834,-0.33574772801730157,120
CMCC-ESM2,nino4,qm,1.1079345053885232,0.908056032166603,-1.4857435327941553,0.2116129438151284,-0.34484996097366666,120
CMCC-ESM2,nino4,xgb,0.7679450262882503,0.6267900269938151,-0.19423117941129386,0.009182500590006448,0.14677434744130852,120
CMCC-ESM2,norte,linear,0.7460039514005342,0.6075526217775968,0.795627059559973,-0.2538402540138934,0.9051486593459788,120
CMCC-ESM2,norte,qm,0.783752720913387,0.6382678721007695,0.7744206915625735,-0.26883442701812804,0.8999823382503368,120
CMCC-ESM2,norte,xgb,0.46063743320478856,0.38034125415547687,0.9220780893637549,-0.3512261342844646,0.9838829477310175,120
CMCC-ESM2,norteleste,linear,0.962764036161512,0.7899760426048843,0.642820621297317,-0.3415282039049356,0.8313236301241217,120
CMCC-ESM2,norteleste,qm,1.0641395635658353,0.8771012678555717,0.5636410984536866,-0.3632940906484638,0.8144516256744251,120
CMCC-ESM2,norteleste,xgb,0.557659239575632,0.42815084087829586,0.8801647837174388,-0.334861462439982,0.9611666848513375,120
CMCC-ESM2,centro,linear,0.703143414519004,0.5570952134517666,0.6740745150244121,-0.30447211358129356,0.8575422968802561,120
CMCC-ESM2,centro,qm,0.7111199160888418,0.540072563971311,0.6666379354535502,-0.260487852325825,0.8491680621797763,120
CMCC-ESM2,centro,xgb,0.7027102655552674,0.5725325408060711,0.6744759432400828,-0.5213789071411133,0.9240123262475549,120
CMCC-ESM2,centroleste,linear,0.7822477211177785,0.5992609454448495,0.7168312375110286,-0.2218658597529867,0.8600489904458957,120
CMCC-ESM2,centroleste,qm,0.8052970997559613,0.5943338678242703,0.6998979240708785,-0.16534003232945543,0.84896313445372,120
CMCC-ESM2,centroleste,xgb,0.6598174888342473,0.5417332892842611,0.798532788794596,-0.42719217396240233,0.9399425663791174,120
CMCC-ESM2,cbm,linear,0.7965178029516561,0.6441947160615846,0.9289049508874696,-0.08554133305020288,0.964239604822499,120
CMCC-ESM2,cbm,qm,0.7987338016791861,0.6546403847071323,0.928508812361646,-0.0522713978388514,0.9643574651970905,120
CMCC-ESM2,cbm,xgb,0.6983686821383749,0.5539740852727254,0.94534651057826,-0.3548063540369669,0.9803883564899912,120
CMCC-ESM2,tna,linear,0.6596913546319593,0.5230324317740181,0.6986805061979882,-0.24032804281501544,0.8594596082670685,120
CMCC-ESM2,tna,qm,0.6708317088631446,0.5238112717343766,0.6884176781744596,-0.20446524018814796,0.8542359395454429,120
CMCC-ESM2,tna,xgb,0.5876819254226413,0.49711274172058106,0.7608720659832711,-0.44144037976989736,0.9467415256631145,120
CMCC-ESM2,tsa,linear,0.41485711791548846,0.34226278713853503,0.7538950433970618,0.10733437366257743,0.8811406691084263,120
CMCC-ESM2,tsa,qm,0.4421675062497112,0.3598150215953242,0.7204259117623089,0.1308692266976767,0.8798841190965472,120
CMCC-ESM2,tsa,xgb,0.27228615417072405,0.23138988640543603,0.8939832748994996,-0.10375064630330402,0.9536961791105797,120
CMCC-ESM2,nat,linear,0.6830972237275532,0.5152227584928993,0.6883773502185153,-0.18535893359616187,0.8434093475428596,120
CMCC-ESM2,nat,qm,0.6991666916205922,0.5130001567412874,0.6735434127971552,-0.12162489746809033,0.8329034951082042,120
