time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1862-09-01,0.0,21.374735,24.992012,26.145075,28.16251,25.393702,24.399176,27.022802,26.750795,11.795286,26.75005,25.297188,26.980906,24.3134,2.6675053,27.221315,27.83468,27.076239,-0.6133652
1862-10-01,0.0,22.521261,24.47792,25.338253,27.840326,24.902416,24.1141,26.903976,26.718739,13.432675,26.666618,25.593668,27.093319,24.860704,2.2326145,27.582323,28.068268,27.43188,-0.48594475
1862-11-01,0.0,24.0266,24.62242,25.546066,27.856976,24.11909,22.950592,26.020678,25.5305,14.203065,25.888155,26.164112,26.037365,25.23346,0.8039055,28.016375,28.126194,27.960033,-0.10981941
1862-12-01,0.0,21.304834,24.443518,25.615658,27.787447,23.252157,21.777805,25.055237,24.245369,16.914677,24.82995,26.482374,24.766796,25.45473,-0.68793297,27.993477,28.21534,28.257677,-0.2218628
1863-01-01,0.0,24.48861,24.817738,25.582636,27.554806,21.772112,20.553995,23.982206,23.028452,18.231401,23.735777,26.942295,23.695225,25.798689,-2.1034641,27.858444,28.17103,28.34968,-0.31258583
1863-02-01,0.0,27.450321,26.226965,25.597176,27.445782,20.896854,19.968061,22.76209,22.602594,18.82365,22.735657,27.282673,23.362211,26.302105,-2.9398937,28.05852,28.020061,28.356346,0.03845787
1863-03-01,0.0,26.188467,26.376945,26.094706,27.563087,21.098259,19.872475,23.185461,22.437513,18.9745,23.08108,27.32624,23.324835,27.582119,-4.257284,28.58729,28.475256,28.523672,0.112033844
1863-04-01,0.0,25.158318,26.45181,26.589983,27.786,21.646067,20.293558,23.443937,22.515274,17.622032,23.35317,27.266575,23.40176,27.615274,-4.2135143,29.152983,29.235489,28.692131,-0.08250618
1863-05-01,0.0,23.504507,26.161037,26.81258,28.058483,22.586555,20.963541,24.377605,23.229092,16.303278,24.275406,26.878252,24.081057,26.960632,-2.8795757,29.027334,29.044859,28.301908,-0.01752472
1863-06-01,0.0,22.884283,25.264833,26.682226,28.084976,23.657873,21.861332,24.902517,23.733366,14.378104,24.838202,26.19942,24.499895,25.79845,-1.2985554,27.964098,28.83864,27.440649,-0.87454224
1863-07-01,0.0,23.756046,25.339836,26.239634,28.084278,24.21033,22.677038,25.1914,24.38297,12.799994,25.117123,25.568737,24.833551,24.625359,0.20819283,26.727379,28.503054,26.306248,-1.7756748
1863-08-01,0.0,21.38369,24.53034,25.939589,27.997238,25.359257,24.35915,26.194468,25.972372,12.051157,26.0493,25.160423,26.119013,24.3144,1.8046131,26.676296,28.210745,26.356339,-1.5344486
1863-09-01,0.0,20.911028,24.373402,25.908016,28.0411,25.522448,24.675913,26.588041,26.423948,11.761633,26.435207,25.296104,26.577267,24.174034,2.4032326,27.193787,28.404919,26.841011,-1.211132
1863-10-01,0.0,21.22317,24.4122,25.862762,28.041737,24.796356,23.973988,26.80415,26.465357,12.802003,26.543768,25.766117,26.747995,24.556026,2.191969,27.797974,28.436455,27.475231,-0.63848114
1863-11-01,0.0,22.370726,24.646793,25.837906,28.015211,24.027327,23.39236,26.60648,26.38147,14.203501,26.333817,26.229948,26.692589,24.71147,1.9811192,27.996962,28.768904,27.898706,-0.77194214
1863-12-01,0.0,26.410124,25.475893,25.744555,27.819088,22.47566,21.895243,24.84669,24.863762,16.596153,24.714037,27.146164,25.331339,25.249046,0.08229256,28.390825,27.698051,28.81685,0.6927738
1864-01-01,0.0,24.634434,25.37306,25.83413,27.681904,21.341002,20.482285,23.744076,23.406488,18.291063,23.603752,27.136763,23.965143,25.709547,-1.7444038,27.635893,27.909367,28.029888,-0.27347374
1864-02-01,0.0,25.411428,25.877499,26.050209,27.588646,20.750937,19.86111,22.965889,22.384886,18.790026,22.849142,27.52784,23.062344,26.16394,-3.1015968,27.8001,27.87954,28.183077,-0.07943916
1864-03-01,0.0,26.061663,26.559221,26.529213,27.702847,21.02422,20.077295,23.271858,22.59476,18.289524,23.027534,27.507841,23.215225,26.310442,-3.0952168,28.04776,28.385746,27.907698,-0.337986
1864-04-01,0.0,23.77429,26.925446,26.924631,27.947271,21.883593,20.850506,24.325077,23.233698,17.366611,23.935015,27.359539,23.791101,26.158495,-2.3673935,28.467575,28.965052,27.931646,-0.49747658
1864-05-01,0.0,22.089252,26.53604,27.058687,28.254444,22.831192,21.767086,24.796368,23.787416,15.920855,24.45862,26.820545,24.35306,26.406515,-2.0534554,28.470242,28.883537,27.654758,-0.41329575
1864-06-01,0.0,22.618681,26.099672,26.82075,28.289768,24.164806,22.9273,25.072685,24.597296,12.803189,25.043217,26.260986,25.13455,25.834175,-0.699625,27.86615,28.41861,27.473831,-0.5524597
1864-07-01,0.0,21.87962,25.27429,26.448229,28.238863,25.183912,23.973082,26.398401,25.993902,11.608965,26.169636,25.637064,26.326366,25.146866,1.1795006,27.409477,27.951641,27.215696,-0.54216385
1864-08-01,0.0,21.271807,24.669292,26.056368,28.069832,25.966892,24.870934,26.63806,26.189466,11.834186,26.410805,25.194544,26.4593,24.710318,1.7489815,26.660255,27.393831,26.348318,-0.7335758
1864-09-01,0.0,21.434662,24.572777,26.019913,28.08425,26.066961,25.317413,26.421646,26.550098,12.658519,26.473764,25.25862,26.705515,24.661894,2.043621,26.619053,27.653917,26.216482,-1.0348644
1864-10-01,0.0,21.769823,24.814783,25.938166,28.077194,25.56569,25.035133,26.932854,26.908243,13.105248,26.805338,25.639551,27.052464,25.104015,1.9484482,27.055836,27.625349,26.664886,-0.5695133
1864-11-01,0.0,22.60625,25.000608,25.965893,28.040482,25.064415,24.435669,27.09756,26.992285,15.389433,26.881325,26.309767,27.147047,25.660065,1.4869823,27.36583,27.846157,26.996908,-0.4803276
